,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE
0,1,0,0,0.0,892.45,0.0,6900,888.1,1091.1,6900,2060
1,0,0,0,0.0,0.0,0.0,6900,870.35,1069.05,6900,2080
2,0,0,0,0.0,0.0,0.0,6900,852.9,1046.1,6900,2100
3,0,0,0,0.0,0.0,0.0,6900,833.55,1023.65,6900,2120
4,0,0,0,0.0,0.0,0.0,6900,816.1,1054.9,6900,2140
5,0,0,0,0.0,0.0,0.0,6900,798.55,1037.3,6900,2160
6,0,0,0,0.0,0.0,0.0,6900,779.85,990.5,6900,2180
7,0,0,0,0.0,0.0,0.0,6900,762.95,967.85,6900,2200
8,0,0,0,0.0,0.0,0.0,6900,745.45,945.45,6900,2220
9,0,0,0,0.0,0.0,0.0,6900,728.0,922.75,6900,2240
10,0,0,0,0.0,0.0,0.0,6900,710.5,900.15,6900,2260
11,0,0,0,0.0,0.0,0.0,6900,690.6,877.4,6900,2280
12,0,0,0,0.0,0.0,0.0,6900,673.0,854.45,6900,2300
13,0,0,0,0.0,0.0,0.0,6900,671.35,832.15,6900,2320
14,0,0,0,0.0,0.0,0.0,6900,653.65,809.45,6900,2340
15,0,0,0,0.0,0.0,0.0,6900,634.3,786.8,6900,2360
16,0,0,0,0.0,0.0,0.0,6900,618.2,761.0,6900,2380
17,0,0,0,0.0,0.0,0.0,6900,599.35,738.6,6900,2400
18,0,0,0,0.0,0.0,0.0,6900,579.9,717.05,6900,2420
19,0,0,0,0.0,0.0,0.0,6900,563.45,696.05,6900,2440
20,0,0,0,0.0,0.0,0.0,6900,521.05,673.4,6900,2460
21,0,0,0,0.0,0.0,0.0,1500,491.05,671.25,6900,2480
22,5,0,0,0.0,510.0,0.0,1500,506.3,586.8,1500,2500
23,0,0,0,0.0,0.0,0.0,1500,487.15,663.45,1500,2520
24,0,0,0,0.0,0.0,0.0,1500,439.0,630.45,1500,2540
25,0,0,0,0.0,0.0,0.0,1500,419.05,607.35,1500,2560
26,0,0,0,0.0,0.0,0.0,1500,399.45,550.3,6900,2580
27,0,0,0,0.0,0.0,0.0,1500,380.2,561.8,1500,2600
28,0,0,0,0.0,0.0,0.0,1500,363.2,542.25,1500,2620
29,0,0,0,0.0,0.0,0.0,1500,342.9,493.4,6900,2640
30,0,0,0,0.0,0.0,0.0,1500,321.8,499.5,1500,2660
31,4,0,0,0.0,325.0,0.0,1500,325.15,480.05,1500,2680
32,7,0,0,0.0,380.0,0.0,300,310.15,384.0,300,2700
33,0,0,0,0.0,0.0,0.0,1500,266.5,436.65,1500,2720
34,0,0,0,0.0,0.0,0.0,1500,247.35,417.1,1500,2740
35,0,0,0,0.0,0.0,0.0,300,274.85,340.75,1800,2760
36,0,0,0,0.0,0.0,0.0,1500,208.25,376.45,1500,2780
37,24,1,7,49.55,266.25,46.25,300,246.65,275.95,300,2800
38,0,0,0,0.0,0.0,0.0,1500,164.4,345.15,1500,2820
39,0,0,0,0.0,0.0,0.0,1500,160.45,321.3,1500,2840
40,2,0,0,0.0,275.0,0.0,300,158.15,280.1,300,2860
41,17,0,0,0.0,162.5,0.0,1500,153.0,247.75,1500,2880
42,93,-23,40,35.38,167.4,17.349999999999994,1500,151.15,168.7,1500,2900
43,59,-2,3,44.82,159.7,31.599999999999994,300,137.25,172.6,1500,2920
44,112,1,4,37.81,136.35,17.349999999999994,1500,115.1,146.0,1500,2940
45,90,0,12,33.68,116.15,17.80000000000001,600,101.65,121.95,1500,2960
46,117,-14,45,31.57,98.55,13.149999999999991,1800,76.65,109.1,600,2980
47,596,-17,1401,22.93,73.05,-0.7999999999999972,300,73.85,84.4,300,3000
48,118,-16,386,23.04,59.1,-0.8999999999999986,300,59.0,78.35,300,3020
49,209,8,1765,25.24,50.0,-0.14999999999999858,300,48.0,59.4,300,3040
50,201,-28,1693,25.27,39.4,-2.1000000000000014,300,39.4,45.0,300,3060
51,197,22,1623,25.69,31.0,-2.299999999999997,300,29.5,44.0,600,3080
52,1533,-41,6126,29.42,28.95,2.1499999999999986,600,25.0,29.0,1200,3100
53,322,-33,1589,27.86,20.3,-1.6999999999999993,300,17.4,22.95,300,3120
54,412,-109,2041,28.59,16.05,-1.75,300,13.35,17.1,300,3140
55,443,-124,1382,29.62,13.0,-1.6999999999999993,600,10.55,13.95,600,3160
56,257,-82,945,30.05,10.0,-2.0,300,8.2,14.15,6000,3180
57,1977,-496,3944,30.43,7.6,-2.450000000000001,900,6.5,9.0,1200,3200
58,226,-36,958,30.69,5.65,-2.5,6000,1.65,7.6,300,3220
59,413,-75,747,30.92,4.0,-2.6500000000000004,1200,3.65,4.0,300,3240
60,266,-4,286,31.32,3.1,-2.3000000000000003,300,2.5,3.15,600,3260
61,107,-30,153,31.44,2.2,-2.55,600,2.15,3.95,6000,3280
62,1199,-163,1243,31.58,1.55,-2.5,300,1.6,1.95,900,3300
63,101,-23,120,33.46,1.5,-2.05,600,1.05,1.8,300,3320
64,28,-12,34,35.68,1.55,-0.6500000000000001,300,1.5,2.2,300,3340
65,12,-2,8,35.18,1.0,-1.5499999999999998,300,1.0,1.55,300,3360
66,5,-8,17,33.22,0.45,-2.15,6000,0.2,2.65,6000,3380
67,519,-81,287,38.31,0.9,-1.3000000000000003,900,0.75,0.95,900,3400
68,1,0,0,0.0,3.5,0.0,300,0.5,1.55,300,3420
69,0,0,0,0.0,0.0,0.0,1200,0.2,1.75,300,3440
70,43,-1,19,46.54,1.4,-0.6000000000000001,1200,0.6,1.4,300,3460
71,0,0,0,0.0,0.0,0.0,1200,0.15,1.7,300,3480
72,415,-71,162,45.59,0.7,-0.6000000000000001,2700,0.55,0.75,900,3500
73,0,0,0,0.0,0.0,0.0,11400,0.1,0.0,0,3520
74,0,0,0,0.0,0.0,0.0,11400,0.1,0.0,0,3540
75,0,0,0,0.0,0.0,0.0,11400,0.1,0.0,0,3560
76,0,0,0,0.0,0.0,0.0,11400,0.1,0.0,0,3580
77,138,-9,36,46.7,0.2,-0.55,6600,0.15,0.2,2400,3600
78,0,0,0,0.0,0.0,0.0,11400,0.1,0.0,0,3620
79,0,0,0,0.0,0.0,0.0,11400,0.1,1.95,300,3640
80,0,0,0,0.0,0.0,0.0,11400,0.1,2.0,600,3660
81,0,0,0,0.0,0.0,0.0,11400,0.1,2.0,600,3680
82,108,-3,35,56.83,0.35,-0.050000000000000044,300,0.15,0.35,1800,3700
